full_name,programming_languages
hotwatermorning/wahwth,"['C++', 'C', 'CMake', 'Batchfile', 'PowerShell', 'Shell']"
LibreArp/LibreArp,"['CMake', 'Shell', 'C++', 'C']"
JohT/speclet,"['CMake', 'C++', 'C', 'Makefile']"
valsteen/note_effects_vst,"['Rust', 'Shell']"
p-hlp/SMPLComp,['C++']
davemollen/dm-GrainDelay,"['Rust', 'Shell', 'HTML', 'CSS']"
vertver/Dynation,"['CMake', 'C++', 'C']"
JamesStubbsEng/TS-808-Ultra,['C++']
nberr/jackel,"['C++', 'C', 'Objective-C++', 'R']"
BLumia/PineappleSynth,"['C++', 'C', 'Objective-C++', 'Inno Setup', 'Shell', 'Batchfile', 'Python']"
canokaue/azr3-mac,"['Makefile', 'CMake', 'C++', 'Objective-C++', 'Objective-C', 'CSS', 'C', 'Perl', 'Ruby', 'Shell', 'Batchfile', 'R']"
publicsamples/Peach,['JavaScript']
gamingrobot/daw-out,"['Rust', 'CSS']"
jcfischer/easylooper,"['Shell', 'Rust']"
POTR-Soft/Chord-Filter,"['CMake', 'C++']"
david6983/saxaboom,"['C++', 'Inno Setup']"
TobiasKozel/transmitter,"['C++', 'C', 'Makefile', 'Inno Setup', 'Rich Text Format', 'TeX', 'Objective-C', 'Python', 'Shell', 'Batchfile', 'JavaScript', 'TypeScript', 'HTML', 'CSS', 'SCSS']"
davemollen/dm-Reverse,"['HTML', 'CSS', 'Rust', 'Shell']"
00laboratories/HISE-AG-20,['JavaScript']
imchristina/piano,"['Rust', 'Lua']"
jthorborg/signalizer,"['Makefile', 'C', 'C++', 'Objective-C++', 'R', 'Java', 'Objective-C', 'Python', 'Batchfile', 'Rez']"
TaleTN/IPlugExample,"['C++', 'Makefile', 'Batchfile', 'Shell', 'C']"
TheTechnobear/SSP,"['C++', 'C', 'Shell', 'Python', 'CMake']"
DropSnorz/wobbleizer,"['C++', 'C', 'Objective-C++', 'Inno Setup', 'Shell', 'Batchfile', 'Python']"
safiire/kitty_synth_vst,"['Ruby', 'Shell', 'Python', 'C', 'C++']"
vocalodon/VocalodonVST,"['C++', 'Objective-C++', 'R', 'HTML']"
Flixor/IRBaboon,"['C++', 'C', 'Objective-C++', 'R']"
HarrisonBubbles/OasisAudioPlugin,['C++']
KottV/SimpleSide,['C++']
lukemcraig/farkle,"['C', 'C++', 'Objective-C++', 'R']"
rickgiantsteps/bucket-brigade,"['C++', 'C', 'Objective-C++', 'R']"
Uberton/Uberton,"['CMake', 'C++', 'C']"
ChromaticIsobar/HyperTremolo,"['C++', 'Shell', 'C', 'Python']"
